emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,timestamp
surprise,surprise,LOW,Stable emotional condition,0.67,0.476,1,fear,0.2571428571428571,medium,0.4067,0.0,surprise,False,LOW,0.0,2.1,LOW,LOW,13.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.0, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-07 17:04:37
fear,fear,LOW,Negative emotional state,0.84,0.559,1,fear,0.2571428571428571,medium,0.4067,0.0,fear,True,LOW,0.0,17.0,LOW,LOW,13.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.3, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-07 17:04:37
neutral,neutral,LOW,Stable emotional condition,0.76,0.693,1,fear,0.2571428571428571,medium,0.4067,0.0,neutral,False,LOW,0.0,5.1,LOW,LOW,13.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.5, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 17:04:38
fear,fear,LOW,Negative emotional state,0.83,0.729,1,fear,0.2571428571428571,medium,0.4067,0.0,fear,True,LOW,0.0,17.2,LOW,LOW,14.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.7, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:39
neutral,neutral,LOW,Stable emotional condition,0.77,0.588,1,fear,0.2571428571428571,medium,0.4067,0.0,neutral,False,LOW,0.0,5.2,LOW,LOW,14.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.9, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:40
sad,sad,LOW,Stable emotional condition,0.83,0.504,1,fear,0.2571428571428571,medium,0.4067,0.0,sad,False,LOW,0.0,17.2,LOW,LOW,14.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.0, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:40
fear,fear,LOW,Negative emotional state,0.83,0.594,1,fear,0.2571428571428571,medium,0.4067,0.0,fear,True,LOW,0.0,17.2,LOW,LOW,14.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.1, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:41
fear,fear,LOW,Negative emotional state,0.83,0.704,1,fear,0.2571428571428571,medium,0.4067,0.0,fear,True,LOW,0.0,17.2,LOW,LOW,14.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.4, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 17:04:41
fear,fear,LOW,Negative emotional state,0.83,0.669,1,fear,0.2571428571428571,medium,0.4067,0.0,fear,True,LOW,0.0,17.1,LOW,LOW,14.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.7, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 17:04:42
surprise,surprise,LOW,Stable emotional condition,0.77,0.413,1,sad,0.27285714285714285,medium,0.4067,0.0,surprise,False,LOW,0.0,2.1,LOW,LOW,13.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.8, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-07 17:04:44
sad,sad,LOW,Stable emotional condition,0.83,0.626,1,sad,0.27285714285714285,medium,0.4067,0.0,sad,True,LOW,0.0,17.1,LOW,LOW,13.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 17:04:44
surprise,surprise,LOW,Stable emotional condition,0.84,0.273,1,sad,0.27285714285714285,medium,0.4067,0.0,surprise,False,LOW,0.0,2.1,LOW,LOW,13.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.1, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-07 17:04:45
sad,sad,LOW,Stable emotional condition,0.83,0.471,1,sad,0.27285714285714285,medium,0.4067,0.0,sad,True,LOW,0.0,17.1,LOW,LOW,13.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.3, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 17:04:46
fear,fear,LOW,Negative emotional state,0.83,0.518,1,sad,0.27285714285714285,medium,0.4067,0.0,fear,False,LOW,0.0,17.1,LOW,LOW,14.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.4, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 17:04:46
neutral,neutral,LOW,Stable emotional condition,0.67,0.273,1,sad,0.27285714285714285,medium,0.4067,0.0,neutral,False,LOW,0.0,5.2,LOW,LOW,14.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.5, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:47
neutral,neutral,LOW,Stable emotional condition,0.83,0.651,1,sad,0.27285714285714285,medium,0.4067,0.0,neutral,False,LOW,0.0,5.2,LOW,LOW,14.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.0, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:48
neutral,neutral,LOW,Stable emotional condition,0.83,0.693,1,sad,0.27285714285714285,medium,0.4067,0.0,neutral,False,LOW,0.0,5.2,LOW,LOW,13.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.5, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:48
fear,fear,LOW,Negative emotional state,0.83,0.665,1,sad,0.27285714285714285,medium,0.4067,0.0,fear,False,LOW,0.0,17.2,LOW,LOW,13.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.7, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:49
neutral,neutral,LOW,Stable emotional condition,0.83,0.686,1,sad,0.27285714285714285,medium,0.4067,0.0,neutral,False,LOW,0.0,5.2,LOW,LOW,13.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.8, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:50
fear,fear,LOW,Negative emotional state,0.83,0.623,1,sad,0.27952380952380956,low,0.39,0.0,fear,False,LOW,0.0,17.3,LOW,LOW,13.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.9, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:51
neutral,neutral,LOW,Stable emotional condition,0.67,0.322,1,sad,0.27952380952380956,low,0.39,0.0,neutral,False,LOW,0.0,5.2,LOW,LOW,13.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.9, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:52
fear,fear,LOW,Negative emotional state,0.83,0.462,1,sad,0.27952380952380956,low,0.39,0.0,fear,False,LOW,0.0,17.3,LOW,LOW,13.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.9, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:04:53
fear,fear,LOW,Negative emotional state,0.74,0.588,1,sad,0.27952380952380956,low,0.39,0.0,fear,False,LOW,0.0,17.2,LOW,LOW,13.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,2026-07-07 17:04:53
neutral,neutral,LOW,Stable emotional condition,0.83,0.399,1,sad,0.27952380952380956,low,0.39,0.0,neutral,False,LOW,0.0,5.2,LOW,LOW,13.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.9, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,2026-07-07 17:04:54
neutral,neutral,LOW,Stable emotional condition,0.83,0.602,1,sad,0.27952380952380956,low,0.39,0.0,neutral,False,LOW,0.0,5.2,LOW,LOW,13.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.4, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,2026-07-07 17:04:54
neutral,neutral,LOW,Stable emotional condition,0.83,0.504,1,sad,0.27952380952380956,low,0.39,0.0,neutral,False,LOW,0.0,5.3,LOW,LOW,13.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,2026-07-07 17:04:55
neutral,neutral,LOW,Stable emotional condition,0.83,0.672,1,sad,0.27952380952380956,low,0.39,0.0,neutral,False,LOW,0.0,5.3,LOW,LOW,13.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.0}",STABLE,2026-07-07 17:04:56
fear,fear,LOW,Negative emotional state,0.83,0.364,1,sad,0.27952380952380956,low,0.39,0.0,fear,False,LOW,0.0,17.3,LOW,LOW,13.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.0}",STABLE,2026-07-07 17:04:56
neutral,neutral,LOW,Stable emotional condition,0.83,0.42,1,sad,0.27952380952380956,low,0.39,0.0,neutral,False,LOW,0.0,5.3,LOW,LOW,13.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.0}",STABLE,2026-07-07 17:04:57
fear,fear,LOW,Negative emotional state,0.83,0.665,1,sad,0.33666666666666667,medium,0.4233,0.0,fear,False,LOW,0.0,17.3,LOW,LOW,12.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 2.0}",STABLE,2026-07-07 17:04:58
fear,fear,LOW,Negative emotional state,0.83,0.658,1,sad,0.33666666666666667,medium,0.4233,0.0,fear,False,LOW,0.0,17.3,LOW,LOW,12.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,2026-07-07 17:04:59
fear,fear,LOW,Negative emotional state,0.76,0.672,1,sad,0.33666666666666667,medium,0.4233,0.0,fear,False,LOW,0.0,17.3,LOW,LOW,12.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,2026-07-07 17:04:59
sad,sad,LOW,Stable emotional condition,0.67,0.528,1,sad,0.33666666666666667,medium,0.4233,0.0,sad,True,LOW,0.0,17.2,LOW,LOW,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.8}",FLUCTUATING,2026-07-07 17:05:00
surprise,surprise,LOW,Stable emotional condition,0.67,0.602,1,sad,0.33666666666666667,medium,0.4233,0.0,surprise,False,LOW,0.0,2.3,LOW,LOW,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-07 17:05:01
angry,angry,LOW,Negative emotional state,0.77,0.7,2,sad,0.33666666666666667,medium,0.4233,0.0,angry,False,LOW,0.0,17.7,LOW,LOW,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",UNSTABLE,2026-07-07 17:05:01
angry,angry,LOW,Negative emotional state,0.83,0.546,2,sad,0.33666666666666667,medium,0.4233,0.0,angry,False,LOW,0.0,17.8,LOW,LOW,11.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.2}",UNSTABLE,2026-07-07 17:05:02
fear,fear,LOW,Negative emotional state,0.83,0.567,2,sad,0.33666666666666667,medium,0.4233,0.0,fear,False,LOW,0.0,18.1,LOW,LOW,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.4}",UNSTABLE,2026-07-07 17:05:02
happy,happy,LOW,Stable emotional condition,0.83,0.7,2,sad,0.33666666666666667,medium,0.4233,0.0,happy,False,LOW,0.0,3.2,LOW,LOW,12.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.6}",UNSTABLE,2026-07-07 17:05:03
fear,fear,LOW,Negative emotional state,0.83,0.546,2,sad,0.33666666666666667,medium,0.4233,0.0,fear,False,LOW,0.0,18.4,LOW,LOW,12.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.7}",UNSTABLE,2026-07-07 17:05:04
fear,fear,LOW,Negative emotional state,0.67,0.385,2,sad,0.32666666666666666,medium,0.4333,0.0,fear,False,LOW,0.0,18.4,LOW,LOW,12.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.8}",UNSTABLE,2026-07-07 17:05:05
fear,fear,LOW,Negative emotional state,0.83,0.476,2,sad,0.32666666666666666,medium,0.4333,0.0,fear,False,LOW,0.0,18.5,LOW,LOW,12.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.8}",UNSTABLE,2026-07-07 17:05:06
fear,fear,LOW,Negative emotional state,0.83,0.651,2,sad,0.32666666666666666,medium,0.4333,0.0,fear,False,LOW,0.0,18.5,LOW,LOW,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 2.8}",UNSTABLE,2026-07-07 17:05:06
happy,happy,LOW,Stable emotional condition,0.67,0.665,2,sad,0.32666666666666666,medium,0.4333,0.0,happy,False,LOW,0.0,3.5,LOW,LOW,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 2.8}",FLUCTUATING,2026-07-07 17:05:07
happy,happy,LOW,Stable emotional condition,0.75,0.476,2,sad,0.32666666666666666,medium,0.4333,0.0,happy,False,LOW,0.0,3.5,LOW,LOW,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.8}",FLUCTUATING,2026-07-07 17:05:07
happy,happy,LOW,Stable emotional condition,0.67,0.651,2,sad,0.32666666666666666,medium,0.4333,0.0,happy,False,LOW,0.0,3.5,LOW,LOW,11.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.8}",FLUCTUATING,2026-07-07 17:05:08
fear,fear,LOW,Negative emotional state,0.83,0.483,2,sad,0.32666666666666666,medium,0.4333,0.0,fear,False,LOW,0.0,18.4,LOW,LOW,11.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 2.8}",STABLE,2026-07-07 17:05:09
fear,fear,LOW,Negative emotional state,0.67,0.686,2,sad,0.32666666666666666,medium,0.4333,0.0,fear,False,LOW,0.0,18.4,LOW,LOW,11.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.8}",STABLE,2026-07-07 17:05:09
fear,fear,LOW,Negative emotional state,0.67,0.686,2,sad,0.32666666666666666,medium,0.4333,0.0,fear,False,LOW,0.0,18.4,LOW,LOW,11.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.8}",STABLE,2026-07-07 17:05:10
angry,angry,LOW,Negative emotional state,0.67,0.651,2,sad,0.32666666666666666,medium,0.4333,0.0,angry,False,LOW,0.0,18.4,LOW,LOW,10.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.8}",FLUCTUATING,2026-07-07 17:05:11
neutral,neutral,LOW,Stable emotional condition,0.83,0.665,3,sad,0.27666666666666667,low,0.43,0.0,neutral,False,LOW,0.0,6.7,LOW,LOW,10.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.7}",FLUCTUATING,2026-07-07 17:05:12
neutral,neutral,LOW,Stable emotional condition,0.83,0.616,3,sad,0.27666666666666667,low,0.43,0.0,neutral,False,LOW,0.0,6.7,LOW,LOW,10.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.7}",FLUCTUATING,2026-07-07 17:05:13
neutral,neutral,LOW,Stable emotional condition,0.83,0.693,3,sad,0.27666666666666667,low,0.43,0.0,neutral,False,LOW,0.0,6.7,LOW,LOW,10.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.7}",FLUCTUATING,2026-07-07 17:05:13
fear,fear,LOW,Negative emotional state,0.83,0.525,3,sad,0.27666666666666667,low,0.43,0.0,fear,False,LOW,0.0,18.6,LOW,LOW,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.6}",FLUCTUATING,2026-07-07 17:05:14
sad,sad,LOW,Stable emotional condition,0.67,0.438,3,sad,0.27666666666666667,low,0.43,0.0,sad,True,LOW,0.0,18.6,LOW,LOW,10.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.6}",UNSTABLE,2026-07-07 17:05:15
sad,sad,LOW,Stable emotional condition,0.67,0.553,3,sad,0.27666666666666667,low,0.43,0.0,sad,True,LOW,0.0,18.5,LOW,LOW,10.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.5}",FLUCTUATING,2026-07-07 17:05:15
neutral,neutral,LOW,Stable emotional condition,0.67,0.357,3,sad,0.27666666666666667,low,0.43,0.0,neutral,False,LOW,0.0,6.4,LOW,LOW,10.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.4}",FLUCTUATING,2026-07-07 17:05:16
neutral,neutral,LOW,Stable emotional condition,0.67,0.273,3,sad,0.27666666666666667,low,0.43,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,10.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.3}",FLUCTUATING,2026-07-07 17:05:17
neutral,neutral,LOW,Stable emotional condition,0.74,0.539,3,sad,0.27666666666666667,low,0.43,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.3}",FLUCTUATING,2026-07-07 17:05:18
happy,happy,LOW,Stable emotional condition,0.83,0.651,4,sad,0.27666666666666667,low,0.43,0.0,happy,False,LOW,0.0,3.5,LOW,LOW,9.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 2.2}",FLUCTUATING,2026-07-07 17:05:19
neutral,neutral,LOW,Stable emotional condition,0.77,0.665,4,sad,0.27952380952380956,low,0.4367,0.0,neutral,False,LOW,0.0,6.4,LOW,LOW,9.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",FLUCTUATING,2026-07-07 17:05:20
fear,fear,LOW,Negative emotional state,0.67,0.588,4,sad,0.27952380952380956,low,0.4367,0.0,fear,False,LOW,0.0,18.3,LOW,LOW,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-07 17:05:21
neutral,neutral,LOW,Stable emotional condition,0.67,0.329,4,sad,0.27952380952380956,low,0.4367,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,10.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-07 17:05:22
fear,fear,LOW,Negative emotional state,0.67,0.322,4,sad,0.27952380952380956,low,0.4367,0.0,fear,False,LOW,0.0,18.3,LOW,LOW,10.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-07 17:05:22
neutral,neutral,LOW,Stable emotional condition,0.77,0.406,5,sad,0.27952380952380956,low,0.4367,0.0,neutral,False,LOW,0.0,6.6,LOW,LOW,10.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-07 17:05:23
neutral,neutral,LOW,Stable emotional condition,0.83,0.665,5,sad,0.27952380952380956,low,0.4367,0.0,neutral,False,LOW,0.0,6.6,LOW,LOW,10.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",FLUCTUATING,2026-07-07 17:05:24
neutral,neutral,LOW,Stable emotional condition,0.83,0.266,5,sad,0.27952380952380956,low,0.4367,0.0,neutral,False,LOW,0.0,6.6,LOW,LOW,10.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.8, 'eye_avoidance': 0.0, 'head_movement': 1.9}",FLUCTUATING,2026-07-07 17:05:25
neutral,neutral,LOW,Stable emotional condition,0.84,0.637,5,sad,0.27952380952380956,low,0.4367,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.2, 'eye_avoidance': 0.0, 'head_movement': 1.7}",FLUCTUATING,2026-07-07 17:05:26
neutral,neutral,LOW,Stable emotional condition,0.85,0.686,5,sad,0.27952380952380956,low,0.4367,0.0,neutral,False,LOW,0.0,6.3,LOW,LOW,9.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 6.7, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,2026-07-07 17:05:26
