emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,video_quality,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,modality_weights,quality_warning,timestamp
neutral,0.52,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,FLUCTUATING,0,4.96,CENTER,1.0,0,0.509,"{'yaw': 6.24, 'pitch': 4.7, 'roll': -0.09}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.5,6.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.5, 'eye_avoidance': 0.0, 'head_movement': 2.5}",Negative emotional state,"{'visual': 0.333, 'audio': 0.667}",False,2026-07-08 15:25:02
neutral,0.52,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.371,FLUCTUATING,0,4.91,CENTER,1.0,0,0.508,"{'yaw': 1.98, 'pitch': 2.82, 'roll': -0.05}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.5,6.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.1, 'eye_avoidance': 0.0, 'head_movement': 2.5}",Negative emotional state,"{'visual': 0.332, 'audio': 0.668}",False,2026-07-08 15:25:03
neutral,0.85,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,FLUCTUATING,0,4.93,CENTER,1.0,0,0.51,"{'yaw': 2.11, 'pitch': 1.68, 'roll': -0.08}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.5,6.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 2.5}",Negative emotional state,"{'visual': 0.45, 'audio': 0.55}",False,2026-07-08 15:25:03
neutral,0.85,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,FLUCTUATING,0,5.17,CENTER,1.0,0,0.509,"{'yaw': 2.18, 'pitch': 0.01, 'roll': -0.09}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.6,6.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.5, 'eye_avoidance': 0.0, 'head_movement': 2.6}",Negative emotional state,"{'visual': 0.449, 'audio': 0.551}",False,2026-07-08 15:25:03
neutral,0.99,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,FLUCTUATING,0,5.17,CENTER,1.0,0,0.509,"{'yaw': 2.2, 'pitch': 0.83, 'roll': -0.1}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.6,6.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.2, 'eye_avoidance': 0.0, 'head_movement': 2.6}",Negative emotional state,"{'visual': 0.487, 'audio': 0.513}",False,2026-07-08 15:25:04
neutral,0.99,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,STABLE,0,5.16,CENTER,1.0,0,0.51,"{'yaw': 2.34, 'pitch': 0.76, 'roll': -0.09}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.6,5.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.0, 'eye_avoidance': 0.0, 'head_movement': 2.6}",Negative emotional state,"{'visual': 0.488, 'audio': 0.512}",False,2026-07-08 15:25:04
neutral,0.97,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,STABLE,0,5.13,CENTER,1.0,0,0.51,"{'yaw': 2.32, 'pitch': 0.81, 'roll': -0.1}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.6,5.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.8, 'eye_avoidance': 0.0, 'head_movement': 2.6}",Negative emotional state,"{'visual': 0.483, 'audio': 0.517}",False,2026-07-08 15:25:05
neutral,0.97,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,STABLE,0,5.09,CENTER,1.0,0,0.51,"{'yaw': 2.36, 'pitch': 0.81, 'roll': -0.1}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.5,5.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.6, 'eye_avoidance': 0.0, 'head_movement': 2.5}",Negative emotional state,"{'visual': 0.483, 'audio': 0.517}",False,2026-07-08 15:25:05
neutral,0.93,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,STABLE,0,5.04,CENTER,1.0,0,0.51,"{'yaw': 2.3, 'pitch': 0.81, 'roll': -0.09}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,17.5,5.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.5, 'eye_avoidance': 0.0, 'head_movement': 2.5}",Negative emotional state,"{'visual': 0.472, 'audio': 0.528}",False,2026-07-08 15:25:06
neutral,0.93,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.373,STABLE,0,4.98,CENTER,1.0,0,0.51,"{'yaw': 2.44, 'pitch': 0.86, 'roll': -0.1}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,17.5,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.4, 'eye_avoidance': 0.0, 'head_movement': 2.5}",Negative emotional state,"{'visual': 0.471, 'audio': 0.529}",False,2026-07-08 15:25:06
neutral,0.93,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.373,STABLE,0,4.92,CENTER,1.0,0,0.51,"{'yaw': 2.81, 'pitch': 1.27, 'roll': -0.1}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,17.5,5.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.2, 'eye_avoidance': 0.0, 'head_movement': 2.5}",Negative emotional state,"{'visual': 0.471, 'audio': 0.529}",False,2026-07-08 15:25:07
neutral,0.93,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.373,STABLE,0,4.95,LEFT,0.95,1,0.507,"{'yaw': -4.41, 'pitch': 3.12, 'roll': -0.13}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,18.0,5.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.5, 'head_movement': 2.5}",Negative emotional state,"{'visual': 0.469, 'audio': 0.531}",False,2026-07-08 15:25:07
neutral,1.0,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.373,STABLE,0,5.39,CENTER,0.95,2,0.509,"{'yaw': -6.99, 'pitch': 6.15, 'roll': -0.06}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,18.2,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.0, 'eye_avoidance': 0.5, 'head_movement': 2.7}",Negative emotional state,"{'visual': 0.489, 'audio': 0.511}",False,2026-07-08 15:25:08
neutral,1.0,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.373,STABLE,0,5.61,CENTER,0.96,2,0.508,"{'yaw': -6.84, 'pitch': 5.22, 'roll': -0.08}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,18.2,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.0, 'eye_avoidance': 0.4, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.488, 'audio': 0.512}",False,2026-07-08 15:25:08
fear,0.91,fear,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.373,STABLE,0,5.77,CENTER,0.96,2,0.508,"{'yaw': -5.7, 'pitch': 5.91, 'roll': -0.06}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,18.3,5.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.9, 'eye_avoidance': 0.4, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.465, 'audio': 0.535}",False,2026-07-08 15:25:09
fear,0.91,fear,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.373,STABLE,0,5.83,CENTER,0.96,2,0.509,"{'yaw': -4.77, 'pitch': 5.43, 'roll': -0.06}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,18.3,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.8, 'eye_avoidance': 0.4, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.465, 'audio': 0.535}",False,2026-07-08 15:25:09
fear,0.9,fear,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.373,STABLE,0,5.84,CENTER,0.96,2,0.509,"{'yaw': -5.13, 'pitch': 4.91, 'roll': -0.08}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,18.3,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.7, 'eye_avoidance': 0.4, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.462, 'audio': 0.538}",False,2026-07-08 15:25:10
fear,0.9,fear,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.373,STABLE,1,5.78,CENTER,0.96,2,0.508,"{'yaw': -3.95, 'pitch': 3.8, 'roll': -0.1}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,18.6,5.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.7, 'eye_avoidance': 0.4, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.462, 'audio': 0.538}",False,2026-07-08 15:25:10
sad,1.0,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.373,STABLE,1,5.73,CENTER,0.96,2,0.509,"{'yaw': -4.13, 'pitch': 4.29, 'roll': -0.1}",angry,0.6166666666666667,medium,0.4567,0.1442,0.864,False,LOW,0.0,18.6,5.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.6, 'eye_avoidance': 0.4, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.489, 'audio': 0.511}",False,2026-07-08 15:25:10
sad,1.0,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.356,STABLE,1,5.67,CENTER,0.97,2,0.509,"{'yaw': -4.2, 'pitch': 3.51, 'roll': -0.12}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.5,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.3, 'head_movement': 2.8}",Stable emotional condition,"{'visual': 0.507, 'audio': 0.493}",False,2026-07-08 15:25:11
neutral,0.9,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.346,STABLE,1,5.59,CENTER,0.97,2,0.51,"{'yaw': 0.02, 'pitch': 1.96, 'roll': -0.05}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.4,5.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.6, 'eye_avoidance': 0.3, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.481, 'audio': 0.519}",False,2026-07-08 15:25:12
neutral,0.9,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.346,STABLE,1,5.63,CENTER,0.97,2,0.511,"{'yaw': 4.18, 'pitch': 2.56, 'roll': -0.06}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.4,5.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.3, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.482, 'audio': 0.518}",False,2026-07-08 15:25:12
sad,0.61,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.346,STABLE,1,5.69,CENTER,0.97,2,0.51,"{'yaw': 4.92, 'pitch': 2.76, 'roll': -0.08}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.5,5.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.3, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.386, 'audio': 0.614}",False,2026-07-08 15:25:13
sad,0.61,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.346,STABLE,1,5.73,CENTER,0.97,2,0.509,"{'yaw': 4.98, 'pitch': 2.77, 'roll': -0.09}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.5,5.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.3, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.386, 'audio': 0.614}",False,2026-07-08 15:25:13
sad,0.68,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.346,STABLE,1,5.73,CENTER,0.97,2,0.51,"{'yaw': 4.97, 'pitch': 2.51, 'roll': -0.1}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.5,5.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.3, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.412, 'audio': 0.588}",False,2026-07-08 15:25:14
sad,0.68,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.346,STABLE,1,5.69,CENTER,0.97,2,0.51,"{'yaw': 4.5, 'pitch': 2.47, 'roll': -0.09}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.5,5.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.6, 'eye_avoidance': 0.3, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.412, 'audio': 0.588}",False,2026-07-08 15:25:14
sad,0.61,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.346,STABLE,1,5.63,CENTER,0.97,2,0.51,"{'yaw': 4.39, 'pitch': 2.51, 'roll': -0.1}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.4,4.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.6, 'eye_avoidance': 0.3, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.386, 'audio': 0.614}",False,2026-07-08 15:25:15
sad,0.61,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.346,STABLE,1,5.69,CENTER,0.97,2,0.509,"{'yaw': 4.22, 'pitch': 2.51, 'roll': -0.1}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.5,4.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.6, 'eye_avoidance': 0.3, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.386, 'audio': 0.614}",False,2026-07-08 15:25:15
sad,0.49,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.346,STABLE,1,5.73,CENTER,0.97,2,0.51,"{'yaw': 4.12, 'pitch': 2.32, 'roll': -0.09}",angry,0.6166666666666667,low,0.3667,0.1012,0.802,False,LOW,0.0,18.5,4.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.3, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.336, 'audio': 0.664}",False,2026-07-08 15:25:15
sad,0.49,sad,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.359,STABLE,2,5.73,CENTER,0.97,2,0.509,"{'yaw': -0.39, 'pitch': 2.0, 'roll': -0.07}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.8,4.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.3, 'head_movement': 2.9}",Negative emotional state,"{'visual': 0.327, 'audio': 0.673}",False,2026-07-08 15:25:16
neutral,0.88,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.359,STABLE,2,5.58,CENTER,0.97,2,0.509,"{'yaw': -2.04, 'pitch': 2.2, 'roll': -0.1}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.8,4.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.3, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.466, 'audio': 0.534}",False,2026-07-08 15:25:17
neutral,0.88,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.359,STABLE,2,5.59,CENTER,0.98,2,0.509,"{'yaw': -2.01, 'pitch': 1.95, 'roll': -0.09}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.7,4.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.466, 'audio': 0.534}",False,2026-07-08 15:25:17
neutral,0.94,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.359,STABLE,2,5.59,CENTER,0.98,2,0.51,"{'yaw': -2.07, 'pitch': 1.94, 'roll': -0.09}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.7,4.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.483, 'audio': 0.517}",False,2026-07-08 15:25:17
neutral,0.94,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.359,STABLE,2,5.52,CENTER,0.98,2,0.509,"{'yaw': -1.77, 'pitch': 2.0, 'roll': -0.09}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.6,4.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.483, 'audio': 0.517}",False,2026-07-08 15:25:18
neutral,0.83,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.359,STABLE,2,5.48,CENTER,0.98,2,0.509,"{'yaw': -1.58, 'pitch': 1.7, 'roll': -0.08}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.6,4.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.7}",Negative emotional state,"{'visual': 0.452, 'audio': 0.548}",False,2026-07-08 15:25:18
neutral,0.83,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.359,STABLE,2,5.44,CENTER,0.98,2,0.509,"{'yaw': -0.16, 'pitch': 0.97, 'roll': -0.09}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.6,4.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.7}",Negative emotional state,"{'visual': 0.452, 'audio': 0.548}",False,2026-07-08 15:25:18
neutral,0.99,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.359,STABLE,2,5.42,CENTER,0.98,2,0.509,"{'yaw': 1.79, 'pitch': 1.22, 'roll': -0.09}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.6,3.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.7}",Negative emotional state,"{'visual': 0.496, 'audio': 0.504}",False,2026-07-08 15:25:19
neutral,0.99,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.359,STABLE,2,5.39,CENTER,0.98,2,0.509,"{'yaw': 2.0, 'pitch': 1.19, 'roll': -0.11}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.6,3.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.7}",Negative emotional state,"{'visual': 0.496, 'audio': 0.504}",False,2026-07-08 15:25:19
neutral,0.91,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.359,STABLE,2,5.38,CENTER,0.98,2,0.509,"{'yaw': 2.17, 'pitch': 1.21, 'roll': -0.11}",angry,0.6166666666666667,medium,0.4533,0.1194,0.831,False,LOW,0.0,18.6,3.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.7}",Negative emotional state,"{'visual': 0.475, 'audio': 0.525}",False,2026-07-08 15:25:20
neutral,0.91,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.72,0.354,STABLE,2,5.65,CENTER,0.98,2,0.507,"{'yaw': 8.48, 'pitch': 3.67, 'roll': -0.31}",angry,0.6166666666666667,medium,0.3933,0.1116,0.819,False,LOW,0.0,18.7,3.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 1.0, 'eye_avoidance': 0.2, 'head_movement': 2.8}",Negative emotional state,"{'visual': 0.477, 'audio': 0.523}",False,2026-07-08 15:25:21
