emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,timestamp
fear,0.91,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.84,0.637,STABLE,1,3.38,CENTER,1.0,0,"{'yaw': -4.23, 'pitch': 1.5, 'roll': -0.1}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,17.0,11.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.0, 'eye_avoidance': 0.0, 'head_movement': 1.7}",Negative emotional state,2026-07-07 16:53:19
neutral,0.97,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.679,STABLE,1,3.74,CENTER,1.0,0,"{'yaw': 5.79, 'pitch': 3.26, 'roll': -0.22}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,5.2,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.5, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Stable emotional condition,2026-07-07 16:53:20
neutral,0.65,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.455,STABLE,1,3.66,CENTER,1.0,0,"{'yaw': -0.94, 'pitch': 1.32, 'roll': -0.08}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,5.2,11.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 1.8}",Stable emotional condition,2026-07-07 16:53:20
fear,0.6,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.42,STABLE,1,3.57,CENTER,1.0,0,"{'yaw': -0.8, 'pitch': 2.32, 'roll': -0.07}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,17.1,11.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.2, 'eye_avoidance': 0.0, 'head_movement': 1.8}",Negative emotional state,2026-07-07 16:53:21
neutral,0.99,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.693,STABLE,1,3.55,CENTER,1.0,0,"{'yaw': -1.97, 'pitch': 1.47, 'roll': -0.09}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,5.1,11.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.6, 'eye_avoidance': 0.0, 'head_movement': 1.8}",Stable emotional condition,2026-07-07 16:53:21
fear,0.89,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.623,STABLE,1,3.56,CENTER,1.0,0,"{'yaw': 3.08, 'pitch': 3.04, 'roll': -0.1}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,17.1,11.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",Negative emotional state,2026-07-07 16:53:22
fear,0.63,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.441,STABLE,1,3.7,CENTER,1.0,0,"{'yaw': 5.4, 'pitch': 2.99, 'roll': -0.15}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,17.2,11.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.4, 'eye_avoidance': 0.0, 'head_movement': 1.8}",Negative emotional state,2026-07-07 16:53:23
fear,0.88,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.616,STABLE,1,3.75,CENTER,1.0,0,"{'yaw': -2.78, 'pitch': 1.34, 'roll': -0.08}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,17.2,11.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 8.8, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Negative emotional state,2026-07-07 16:53:23
neutral,0.86,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.602,STABLE,1,3.83,CENTER,1.0,0,"{'yaw': -3.77, 'pitch': 1.56, 'roll': -0.09}",sad,0.31955555555555554,medium,0.3567,0.0002,False,LOW,0.0,5.2,11.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.2, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Stable emotional condition,2026-07-07 16:53:24
fear,0.85,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.595,STABLE,1,3.84,CENTER,1.0,0,"{'yaw': -1.19, 'pitch': 0.35, 'roll': -0.1}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,17.3,11.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.5, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Negative emotional state,2026-07-07 16:53:25
neutral,0.96,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.672,STABLE,1,3.89,CENTER,1.0,0,"{'yaw': 4.59, 'pitch': 2.58, 'roll': -0.14}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,5.3,11.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Stable emotional condition,2026-07-07 16:53:26
fear,0.95,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.665,STABLE,1,3.88,CENTER,1.0,0,"{'yaw': 3.51, 'pitch': 2.73, 'roll': -0.08}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,17.3,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Negative emotional state,2026-07-07 16:53:27
fear,0.48,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.336,STABLE,1,3.89,CENTER,1.0,0,"{'yaw': -2.46, 'pitch': 1.07, 'roll': -0.09}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,17.3,11.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.5, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Negative emotional state,2026-07-07 16:53:27
neutral,0.92,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.644,STABLE,1,4.03,CENTER,1.0,0,"{'yaw': 5.81, 'pitch': 3.33, 'roll': -0.16}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,5.3,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Stable emotional condition,2026-07-07 16:53:28
neutral,0.95,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.665,STABLE,1,4.15,CENTER,1.0,0,"{'yaw': 5.87, 'pitch': 3.47, 'roll': -0.14}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,5.4,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.4, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Stable emotional condition,2026-07-07 16:53:29
sad,0.95,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.74,0.725,FLUCTUATING,1,4.12,CENTER,1.0,0,"{'yaw': -1.08, 'pitch': 0.84, 'roll': -0.09}",sad,0.3005555555555555,medium,0.41,0.0,True,LOW,0.0,17.4,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.6, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Stable emotional condition,2026-07-07 16:53:29
neutral,0.97,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.679,FLUCTUATING,1,4.22,CENTER,1.0,0,"{'yaw': -4.38, 'pitch': 1.32, 'roll': -0.11}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,5.4,11.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Stable emotional condition,2026-07-07 16:53:30
fear,0.53,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.74,0.371,FLUCTUATING,1,4.15,CENTER,1.0,0,"{'yaw': 0.03, 'pitch': 2.65, 'roll': -0.07}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,17.4,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Negative emotional state,2026-07-07 16:53:31
fear,0.95,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.665,FLUCTUATING,1,4.08,CENTER,1.0,0,"{'yaw': 0.89, 'pitch': 2.28, 'roll': -0.07}",sad,0.3005555555555555,medium,0.41,0.0,False,LOW,0.0,17.4,11.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.6, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Negative emotional state,2026-07-07 16:53:31
fear,0.89,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.623,FLUCTUATING,1,4.02,CENTER,1.0,0,"{'yaw': 0.88, 'pitch': 1.93, 'roll': -0.08}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,17.3,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Negative emotional state,2026-07-07 16:53:33
neutral,0.55,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.74,0.385,FLUCTUATING,1,3.99,CENTER,1.0,0,"{'yaw': 0.35, 'pitch': 1.2, 'roll': -0.08}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,5.3,11.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Stable emotional condition,2026-07-07 16:53:33
fear,0.68,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.476,FLUCTUATING,1,4.01,CENTER,1.0,0,"{'yaw': 3.5, 'pitch': 2.31, 'roll': -0.1}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,17.3,11.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Negative emotional state,2026-07-07 16:53:34
happy,0.84,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.588,FLUCTUATING,1,4.0,CENTER,1.0,0,"{'yaw': 1.04, 'pitch': 2.56, 'roll': -0.07}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,2.3,11.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Stable emotional condition,2026-07-07 16:53:35
sad,0.82,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.652,FLUCTUATING,1,4.11,CENTER,1.0,0,"{'yaw': -3.19, 'pitch': 0.69, 'roll': -0.09}",sad,0.2843650793650793,medium,0.3867,0.0,True,LOW,0.0,17.4,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Stable emotional condition,2026-07-07 16:53:35
neutral,0.46,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.322,FLUCTUATING,1,4.05,CENTER,1.0,0,"{'yaw': 2.34, 'pitch': 2.08, 'roll': -0.08}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,5.4,11.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Stable emotional condition,2026-07-07 16:53:36
neutral,0.38,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.266,FLUCTUATING,1,4.17,CENTER,1.0,0,"{'yaw': 5.84, 'pitch': 2.81, 'roll': -0.15}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,5.4,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Stable emotional condition,2026-07-07 16:53:37
fear,0.86,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.602,FLUCTUATING,1,4.19,CENTER,1.0,0,"{'yaw': 2.48, 'pitch': 3.11, 'roll': -0.12}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,17.4,11.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Negative emotional state,2026-07-07 16:53:37
fear,0.43,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.301,FLUCTUATING,1,4.16,CENTER,1.0,0,"{'yaw': -0.38, 'pitch': 1.71, 'roll': -0.08}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,17.4,11.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Negative emotional state,2026-07-07 16:53:38
fear,0.98,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.686,FLUCTUATING,1,4.17,CENTER,1.0,0,"{'yaw': 2.7, 'pitch': 3.41, 'roll': -0.09}",sad,0.2843650793650793,medium,0.3867,0.0,False,LOW,0.0,17.4,11.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Negative emotional state,2026-07-07 16:53:39
happy,0.4,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.28,FLUCTUATING,1,4.12,CENTER,1.0,0,"{'yaw': 4.02, 'pitch': 1.5, 'roll': -0.1}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,2.4,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Stable emotional condition,2026-07-07 16:53:40
angry,0.5,angry,angry,LOW,LOW,LOW,LOW,FOCUSED,0.76,0.35,UNSTABLE,1,4.0,CENTER,1.0,0,"{'yaw': -1.45, 'pitch': 2.62, 'roll': -0.07}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,17.3,11.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Negative emotional state,2026-07-07 16:53:41
neutral,0.73,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.511,UNSTABLE,1,3.87,CENTER,1.0,0,"{'yaw': 3.28, 'pitch': 2.17, 'roll': -0.08}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,5.3,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Stable emotional condition,2026-07-07 16:53:42
fear,0.79,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.553,UNSTABLE,1,3.86,CENTER,1.0,0,"{'yaw': 3.41, 'pitch': 2.26, 'roll': -0.12}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,17.3,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Negative emotional state,2026-07-07 16:53:43
neutral,0.89,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.623,FLUCTUATING,1,3.95,CENTER,1.0,0,"{'yaw': 5.54, 'pitch': 2.91, 'roll': -0.16}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,5.3,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Stable emotional condition,2026-07-07 16:53:44
neutral,0.8,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.56,FLUCTUATING,1,4.0,CENTER,1.0,0,"{'yaw': 6.08, 'pitch': 2.81, 'roll': -0.15}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,5.3,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Stable emotional condition,2026-07-07 16:53:45
neutral,0.94,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.658,FLUCTUATING,1,4.08,CENTER,1.0,0,"{'yaw': 5.96, 'pitch': 2.88, 'roll': -0.18}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,5.4,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Stable emotional condition,2026-07-07 16:53:46
fear,0.62,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.434,FLUCTUATING,1,4.06,CENTER,1.0,0,"{'yaw': 4.21, 'pitch': 3.45, 'roll': -0.1}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,17.4,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Negative emotional state,2026-07-07 16:53:46
fear,0.89,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.623,FLUCTUATING,1,4.0,CENTER,1.0,0,"{'yaw': 5.43, 'pitch': 2.61, 'roll': -0.15}",sad,0.3405555555555555,medium,0.3633,0.0,False,LOW,0.0,17.3,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Negative emotional state,2026-07-07 16:53:47
sad,0.69,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.615,UNSTABLE,1,3.85,CENTER,1.0,0,"{'yaw': 4.94, 'pitch': 2.77, 'roll': -0.12}",sad,0.3405555555555555,medium,0.3633,0.0,True,LOW,0.0,17.3,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Stable emotional condition,2026-07-07 16:53:47
fear,0.9,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.63,FLUCTUATING,1,3.72,CENTER,1.0,0,"{'yaw': 4.53, 'pitch': 2.63, 'roll': -0.11}",sad,0.3705555555555555,medium,0.3533,0.0,False,LOW,0.0,17.2,11.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Negative emotional state,2026-07-07 16:53:49
fear,0.54,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.378,FLUCTUATING,1,3.73,CENTER,1.0,0,"{'yaw': 0.08, 'pitch': 2.72, 'roll': -0.08}",sad,0.3705555555555555,medium,0.3533,0.0,False,LOW,0.0,17.2,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Negative emotional state,2026-07-07 16:53:49
sad,0.69,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.63,FLUCTUATING,1,3.78,CENTER,1.0,0,"{'yaw': -0.43, 'pitch': 1.3, 'roll': -0.07}",sad,0.3705555555555555,medium,0.3533,0.0,True,LOW,0.0,17.2,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Stable emotional condition,2026-07-07 16:53:50
happy,0.92,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.67,0.644,FLUCTUATING,1,4.0,CENTER,1.0,0,"{'yaw': -6.08, 'pitch': 2.5, 'roll': -0.12}",sad,0.3705555555555555,medium,0.3533,0.0,False,LOW,0.0,2.3,11.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.0}",Stable emotional condition,2026-07-07 16:53:51
fear,0.73,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.511,FLUCTUATING,2,4.11,CENTER,1.0,0,"{'yaw': -4.11, 'pitch': 1.16, 'roll': -0.1}",sad,0.3705555555555555,medium,0.3533,0.0,False,LOW,0.0,17.7,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.3, 'eye_avoidance': 0.0, 'head_movement': 2.1}",Negative emotional state,2026-07-07 16:53:51
fear,0.78,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.546,FLUCTUATING,2,4.46,CENTER,1.0,0,"{'yaw': -8.39, 'pitch': 2.52, 'roll': -0.19}",sad,0.3705555555555555,medium,0.3533,0.0,False,LOW,0.0,17.9,12.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.8, 'eye_avoidance': 0.0, 'head_movement': 2.2}",Negative emotional state,2026-07-07 16:53:52
fear,0.7,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.49,FLUCTUATING,2,4.87,CENTER,1.0,0,"{'yaw': -8.89, 'pitch': 3.76, 'roll': -0.16}",sad,0.3705555555555555,medium,0.3533,0.0,False,LOW,0.0,18.1,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.3, 'eye_avoidance': 0.0, 'head_movement': 2.4}",Negative emotional state,2026-07-07 16:53:52
