emotion,actor,aud_pitch,aud_energy,aud_speech_rate,aud_silence_ratio,aud_voice_stability,aud_spectral_centroid,aud_zcr,aud_energy_variance,aud_mfcc_1,aud_mfcc_2,aud_mfcc_3,aud_mfcc_4,aud_mfcc_5,aud_mfcc_6,aud_mfcc_7,aud_mfcc_8,aud_mfcc_9,aud_mfcc_10,aud_mfcc_11,aud_mfcc_12,aud_mfcc_13,aud_delta_mfcc_1,aud_delta_mfcc_2,aud_delta_mfcc_3,aud_delta_mfcc_4,aud_delta_mfcc_5,aud_delta_mfcc_6,aud_delta_mfcc_7,aud_delta_mfcc_8,aud_delta_mfcc_9,aud_delta_mfcc_10,aud_delta_mfcc_11,aud_delta_mfcc_12,aud_delta_mfcc_13,aud_delta2_mfcc_1,aud_delta2_mfcc_2,aud_delta2_mfcc_3,aud_delta2_mfcc_4,aud_delta2_mfcc_5,aud_delta2_mfcc_6,aud_delta2_mfcc_7,aud_delta2_mfcc_8,aud_delta2_mfcc_9,aud_delta2_mfcc_10,aud_delta2_mfcc_11,aud_delta2_mfcc_12,aud_delta2_mfcc_13,aud_chroma_1,aud_chroma_2,aud_chroma_3,aud_chroma_4,aud_chroma_5,aud_chroma_6,aud_chroma_7,aud_chroma_8,aud_chroma_9,aud_chroma_10,aud_chroma_11,aud_chroma_12,aud_contrast_1,aud_contrast_2,aud_contrast_3,aud_contrast_4,aud_contrast_5,aud_contrast_6,aud_contrast_7,aud_tonnetz_1,aud_tonnetz_2,aud_tonnetz_3,aud_tonnetz_4,aud_tonnetz_5,aud_tonnetz_6,vis_avg_ear,vis_avg_yaw,vis_avg_pitch,vis_avg_roll,vis_left_gaze_ratio,vis_right_gaze_ratio,vis_center_gaze_ratio,vis_gaze_stability,vis_movement_score,vis_blink_rate,tim_response_latency,tim_pause_ratio,tim_speech_rate,tim_voiced_ratio,tim_mean_pause
calm,Actor_01,274.3527,0.019613467,135.99917763157896,0.5079770881201255,0.14004809,3113.1554181854776,0.3471008971497252,0.010478995,-329.70862,68.82944,4.7289543,11.950599,5.6388817,5.834093,-4.8624907,-4.8628,-8.308452,-4.8761907,2.3179216,1.222751,0.59549415,-0.28150436,-0.22172385,-0.042252902,-0.01794292,-0.051812585,-0.014185261,0.039841663,0.061386697,0.07728063,0.07336766,0.015998714,0.0046905503,0.00303958,0.02166467,0.017427256,0.013247448,0.008533681,0.03609487,0.051336095,0.020467507,-0.007054798,0.0055992473,0.02086597,0.030601399,0.016138842,0.002049497,0.49778458,0.5520675,0.50463164,0.47701675,0.47272933,0.44262466,0.46608496,0.47446027,0.48974144,0.5681658,0.6819362,0.53782743,21.74592512100888,13.198613717354716,15.73875138966404,15.183141010493529,16.497383927579367,16.221776644088216,44.768299710363216,-0.0736065720046549,0.0306505122392708,-0.0154352876291216,-0.1213043139144721,0.019317849196277,-0.001966646673851,0.19411407166197148,0.14091657495882917,1.0894095363481395,-0.0698260100931997,0.0,0.0,1.0,1.0,1.4601794959441723,31.11771856676057,1.005,0.5305,0.9558,0.4695,0.2963
calm,Actor_01,274.20544,0.0129367,184.5703125,0.5504762767728709,0.11373961,3214.008347526351,0.3413114161849711,0.007814493,-346.1871,65.29337,-3.5145006,14.551637,6.7378383,2.9514792,-4.3670077,-8.268066,-9.742737,-3.7135782,3.7736468,-0.95878845,-0.26622257,0.024422001,0.03427232,0.033487905,0.032209273,0.030478781,0.02835256,0.025898883,0.023194788,0.02032292,0.01736822,0.014414331,0.011540402,0.008818047,0.02089105,0.02933963,0.028730052,0.027737403,0.026395489,0.024749406,0.022853747,0.0207699,0.01856354,0.016301757,0.01405017,0.011870287,0.009817115,0.49763992,0.58579206,0.5783519,0.5595618,0.5343676,0.5566024,0.5590821,0.56484365,0.52102625,0.51998717,0.53597856,0.46781957,20.70981200349702,12.26970482465506,14.95028493787723,15.256242503290744,15.88410567578146,16.49840901520734,44.58641634494851,-0.0343017453724175,0.0336401979416666,-0.0774491405319102,-0.0765661791779882,0.0100387662165607,0.0069431093786548,0.16422307616421886,0.337659139288286,1.0797541015110979,-0.07714360327383689,0.0,0.0,1.0,1.0,1.635999666063112,31.715538476715622,1.02,0.5736,0.7547,0.4264,0.395
happy,Actor_01,274.26096,0.015004463,143.5546875,0.6135891370545108,0.1224927,3067.9116865122214,0.406826171875,0.009644068,-367.04245,63.116707,-4.3889437,12.588354,4.241159,-2.902261,-5.6718726,-6.6233625,-11.532383,-2.3804133,-1.2910128,-6.802653,1.1827935,0.003980713,0.005620168,0.005593052,0.005548312,0.0054862406,0.0054075243,0.005312743,0.0052028783,0.0050789514,0.004941864,0.004792932,0.0046332614,0.004464121,0.001949377,0.002755127,0.002746275,0.0027315775,0.0027112453,0.0026854705,0.0026545143,0.002618676,0.0025782997,0.0025337823,0.0024854913,0.0024338532,0.0023793078,0.60998416,0.6404249,0.5713336,0.5627242,0.5891393,0.5964922,0.5158348,0.5297948,0.543823,0.51957905,0.5324216,0.5996955,20.38085353980368,13.121355754098868,15.75893234215031,14.589387734363523,15.623727350174304,17.930442321818916,45.51861270390063,-0.020209376497567,0.0212057971844892,-0.026133982354465,-0.0156954593428724,0.016760505850443,0.0113093083673933,0.23777936473880587,0.7275505742266812,0.06289834547154075,-0.0443260102445949,0.0,0.0,1.0,1.0,1.191815639771217,30.24441270522388,1.035,0.6609,1.7391,0.3391,0.205
happy,Actor_01,274.47742,0.0122532025,135.99917763157896,0.6073421592587268,0.11069418,2897.882292484592,0.342646484375,0.007946673,-377.04944,62.999477,-5.8192096,15.460055,6.5266376,-1.5888861,-6.597417,-4.8063283,-13.677246,-1.3645008,0.1333669,-6.366865,3.4054475,-0.007161255,-0.010116424,-0.010078214,-0.010014992,-0.00992692,-0.009814402,-0.009678008,-0.009518414,-0.009336344,-0.009132691,-0.008908443,-0.008664621,-0.008402389,0.002116928,0.0029901504,0.002977654,0.0029570262,0.0029283077,0.0028916136,0.0028472075,0.0027952925,0.0027361743,0.0026701626,0.0025976181,0.0025189242,0.0024345145,0.60841805,0.61303854,0.5604459,0.581893,0.56589794,0.5605831,0.49984568,0.5119137,0.5035109,0.5101057,0.5798999,0.61645436,20.35347038403248,12.867799765070329,16.09165282066246,14.90050610305975,15.766092358516744,18.173024281752163,44.99085997225434,-0.0306677344849786,0.0114450818935093,0.0179529380130888,-0.020055816912403,0.0119481303422986,0.0119929264889409,0.19326858197210162,0.6039251387110567,0.10463077380842126,-0.015993584770066287,0.0,0.0,1.0,1.0,0.8820141577647554,31.13462836055797,1.05,0.6957,2.029,0.3043,0.2314
happy,Actor_01,268.7467,0.016331112,95.703125,0.610645227470893,0.12779324,3162.4389473053566,0.3734426062091503,0.010662802,-362.0734,62.20653,-2.343208,12.91607,1.8241278,-0.17071323,-5.66999,-7.286775,-13.776977,-3.3122003,2.3617573,-7.0014296,1.9307767,0.0005381466,0.00075949874,0.0007571905,0.00075324066,0.00074780534,0.00074081484,0.000732372,0.0007224239,0.0007110546,0.00069834513,0.0006842582,0.00066889345,0.0006523444,0.0004884932,0.00069044775,0.0006883347,0.0006847818,0.0006798358,0.0006734811,0.0006657862,0.00065675593,0.0006464626,0.00063485256,0.0006220575,0.0006081061,0.00059304986,0.54838336,0.56792307,0.55904746,0.4893181,0.4524739,0.45863423,0.4828745,0.5719717,0.5732292,0.560216,0.6134478,0.56288236,19.76701949240781,13.092919074001797,15.79804285010568,15.330183289370568,16.246888106327557,17.238504870220524,44.71140943712739,-0.075284982614271,0.040483866588322,0.0517688341852688,-0.0865286817908094,0.0184575556803367,0.0071355139207418,0.2221834147512581,0.44632168440641234,-0.13207758996666427,-0.017977397343767573,0.0,0.0,1.0,1.0,1.0297109812863376,30.556331704974838,1.02,0.641,1.1396,0.359,0.2775
happy,Actor_01,275.28668,0.018655373,172.265625,0.571222158276905,0.13658467,3184.692764620432,0.4009307861328125,0.011260417,-345.33432,57.02253,0.4184397,18.289316,2.6309874,0.41835555,-2.5292726,-6.284705,-13.434198,-3.6181443,0.6169866,-4.589427,2.5763226,-0.09849338,0.0045434954,-0.12623522,-0.015364265,-0.094052576,-0.042892635,-0.0587626,-0.062244833,-0.034571014,-0.06464948,-0.025588369,-0.05266452,-0.025888924,0.028559852,-0.05261317,0.03256772,-0.03794297,0.013725189,-0.016961014,-0.005624607,-0.00040001274,-0.016411018,0.005765915,-0.016500086,0.0031388998,-0.010451704,0.54115045,0.55656254,0.56352544,0.5411669,0.4468453,0.45630556,0.44686523,0.47839013,0.53097165,0.5159117,0.58239466,0.6303738,21.525153361108785,12.935548274814597,15.91056039787993,15.163830778132256,16.373661213161718,18.017438949281747,45.06150821931977,-0.0653056685357245,0.0176304124093845,-0.0074029658921066,-0.0781129556882664,0.0229039992435413,-0.0041221478357327,0.21862318831576097,0.2098116497417777,0.429862245952665,-0.03424355185918564,0.0,0.0,1.0,1.0,0.8705416004705092,30.62753623368478,1.005,0.5837,0.8163,0.4163,0.36
happy,Actor_01,274.25757,0.007619401,123.046875,0.6247791328415564,0.08728918,3169.5117427655628,0.3638739435927673,0.0049762004,-393.2469,49.15078,-5.9865155,5.608567,-1.271636,-1.2067622,-12.03728,-8.814259,-11.101426,-8.968306,-0.68171066,-7.0525794,-1.9013772,1.5354756e-06,4.798361e-08,0.0,2.3991806e-08,0.0,2.3991806e-08,-8.996928e-09,5.9979515e-09,-5.9979515e-09,0.0,2.9989757e-09,1.1995903e-08,-1.1995903e-08,1.0196518e-07,5.9979515e-09,5.9979515e-09,-1.7993855e-08,1.1995903e-08,-5.9979515e-09,-1.0496415e-08,-7.4974393e-10,5.9979515e-09,0.0,2.9989757e-09,-8.996928e-09,-5.9979515e-09,0.44090036,0.5209117,0.56346196,0.4754727,0.5142126,0.5434916,0.5433812,0.5131038,0.43104962,0.41700664,0.52199936,0.48820117,20.14744083588556,13.791156159313635,16.17438265177234,15.967520505728857,16.93274492874862,16.6131527738531,45.11715571809639,-0.044521981540964,0.0449073397149117,0.0710867705913082,-0.077693609711158,0.0087522207699996,0.0089513873359271,0.1889543545001711,0.7799421217339406,1.9699232907914124,-0.020736799511081736,0.0,0.0,1.0,1.0,3.2463752715923406,31.220912909996578,1.08,0.679,1.6461,0.321,0.2275
happy,Actor_01,274.47015,0.007582135,112.34714673913044,0.6170708897063408,0.08707546,2615.557871945989,0.2620297571656051,0.0051220316,-383.47302,54.875935,-11.518559,5.495306,2.41587,-1.8642924,-11.11178,-7.59675,-14.508148,-7.4336452,3.2631514,-7.8864737,-1.6498963,0.008734053,0.006835986,-0.0025274677,-0.0047888057,-0.00058811944,0.00088456634,-0.002980384,-0.005203466,-0.0015328097,0.0028728922,0.0023541907,-0.00045513044,0.00020062999,0.004794139,0.0046448433,0.00041230014,-0.0024154808,-0.0031998598,-0.0033280044,-0.0030358674,-0.0017873497,-0.00056863285,-0.00072908856,-0.001141123,0.00033147776,0.002789388,0.43268657,0.5040695,0.45587954,0.44023824,0.49942887,0.5637111,0.52320725,0.5630479,0.5645581,0.46252117,0.4368518,0.39663136,20.427375389605903,13.60670267740701,16.10020037466563,16.56202726310223,17.157293909074117,17.79662510148161,45.08686266604874,-0.0281312354677656,0.0241381869416105,-0.0111998333410324,0.0319492115289157,0.018826660763224,0.0193574920963647,0.1869808354354578,0.6842864724482203,0.6715933224511318,0.0036000572431470314,0.0,0.0,1.0,1.0,1.5633772951488027,31.260383291290843,1.08,0.7178,2.213,0.2822,0.1875
happy,Actor_01,274.32254,0.019151473,184.5703125,0.5534630314339357,0.13838884,2993.6174176167683,0.2926212086397058,0.011636108,-314.56503,48.02012,-10.221419,7.8318186,-0.17214894,-2.1730673,-10.422513,-9.233612,-17.878965,-4.913381,0.0017014447,-9.143921,0.11875628,-0.0036077162,-0.0036755675,-0.0014513998,-0.0016188229,-0.0038943514,-0.004964088,-0.0032833323,-0.0012583621,-0.001722908,-0.003887819,-0.004569996,-0.0027854582,-0.00105811,0.002410193,0.0021646724,0.00023219164,0.00039214105,0.0023816586,0.003302204,0.0018290071,8.72612e-05,0.00053282344,0.002432504,0.0030025118,0.001435594,-2.7019838e-05,0.4198993,0.43354228,0.41375777,0.45425528,0.49156436,0.5584874,0.48997065,0.52523816,0.5236762,0.4490142,0.4654359,0.44057214,22.962370835716754,14.693203941344628,17.129680572512278,16.37081531634328,16.93250480543605,18.3534250466807,45.57647970346214,-0.0421627980717669,0.0444370869944906,0.0035177429672324,-0.0379651617724454,0.0086260619034752,-0.0024142609984503,0.23336956018703028,0.7740393688629361,-0.31575371104716665,-0.017048865880540352,0.0,0.0,1.0,1.0,1.3903334424857048,30.332608796259393,0.99,0.6284,1.788,0.3716,0.195
happy,Actor_01,268.88315,0.013127861,95.703125,0.5605008235714204,0.114576876,3185.799082340081,0.3424661075367647,0.007937866,-347.60638,49.672794,-8.996246,6.914048,-1.1240022,-3.3295467,-9.793235,-9.628174,-17.208342,-7.140059,-1.7678517,-7.01247,-0.28077137,-0.0003148696,-0.00057206996,-0.0007369322,-0.00067317067,-0.00053056265,-0.00061575946,-0.0008386051,-0.00083528407,-0.00058984756,-0.00048896566,-0.0006773668,-0.0007917685,-0.00056004804,-0.00018800847,-0.00013247097,5.9941234e-05,3.0710067e-05,-0.00011736926,-7.9665464e-05,0.00013381173,0.00020534011,2.8991699e-05,-0.000117524934,-3.0962157e-05,8.977722e-05,-1.3719411e-05,0.49577978,0.47993115,0.48439276,0.4888793,0.54449034,0.52605045,0.49846107,0.55060977,0.520712,0.4412793,0.4764542,0.5088471,23.44076331005942,14.217795321286346,17.315129784381252,16.200351446987973,16.28702461277761,17.923622573205193,45.03378188927249,-0.038328503419857,0.0319620270924344,-0.0038837728227548,-0.0258043135899836,-0.0021254307470393,-0.0052130857913973,0.28351860848746674,-0.056885622418870636,-0.5110340462114372,-0.04841432375763422,0.0,0.0,1.0,1.0,2.0205725720726506,29.329627830250665,1.005,0.6207,1.5326,0.3793,0.2175
